row,col,lon_center,lat_center,vlm_mm_yr,observable_count,observable_fraction,any_observable,majority_observable,not_majority_observable,strong_sub_5mm,population_weighted,population_cover_fraction,builtup_m2_weighted,builtup_cover_fraction
81,56,100.22791627204998,14.637083463158126,-7.221907207582347,28,1.0,1,1,0,1,100.49113767161954,1.0000000000018558,18111.083722899784,1.0000000000018558
81,57,100.23624960534998,14.637083463158126,-6.280257974997296,28,1.0,1,1,0,1,114.06471704118437,1.0000000000001505,36984.92260444219,1.0000000000001505
81,58,100.24458293864998,14.637083463158126,-7.7317353416321115,28,1.0,1,1,0,1,221.2139618122467,1.0000000000001505,19561.026240682666,1.0000000000001505
81,59,100.25291627194999,14.637083463158126,-6.387654340012362,28,1.0,1,1,0,1,238.60505373000308,1.0000000000001508,63520.825153082544,1.0000000000001505
81,60,100.26124960524999,14.637083463158126,-7.732451861213234,28,1.0,1,1,0,1,101.93287176754488,1.0000000000001505,19743.14525483796,1.0000000000001505
81,61,100.26958293854999,14.637083463158126,-8.301624794867863,28,1.0,1,1,0,1,64.25372218501836,1.0000000000001508,17397.028006604654,1.0000000000001505
81,63,100.28624960514998,14.637083463158126,-7.667246158086179,28,1.0,1,1,0,1,13.517804640960618,1.0000000000001505,1334.0103107650466,1.0000000000001503
81,64,100.29458293844998,14.637083463158126,-7.667246158086179,28,1.0,1,1,0,1,87.50936685847668,1.0000000000001505,16397.937236698257,1.0000000000001505
81,65,100.30291627174998,14.637083463158126,-7.254938505579858,28,1.0,1,1,0,1,349.9762249386183,1.0000000000001505,82541.70720360798,1.0000000000001505
81,66,100.31124960504998,14.637083463158126,-5.907802236537982,28,1.0,1,1,0,1,282.9584479806162,1.0000000000001505,58183.98334911255,1.0000000000001505
81,67,100.31958293834998,14.637083463158126,-4.892225766722838,28,1.0,1,1,0,0,488.1840365083747,1.0000000000018558,79672.82448451874,1.0000000000018558
81,68,100.32791627164998,14.637083463158126,-5.504746032686496,28,1.0,1,1,0,1,574.3307971418492,1.0000000000001505,125452.84346426761,1.0000000000001505
81,69,100.33624960494998,14.637083463158126,-7.4981638464261575,28,1.0,1,1,0,1,116.20921164570186,1.0000000000001505,0.30681783764639986,1.0000000000001505
82,27,99.98624960634999,14.62875012985829,-10.46362768134879,28,1.0,1,1,0,1,183.1656914202597,1.0000000000005451,49870.92975748012,1.000000000000545
82,28,99.99458293964999,14.62875012985829,-10.80027858461516,28,1.0,1,1,0,1,154.2690708366194,1.000000000000545,43542.99105861407,1.000000000000545
82,29,100.00291627294997,14.62875012985829,-13.757901509153232,28,1.0,1,1,0,1,146.69097573694486,1.000000000000545,30452.068637345998,1.000000000000545
82,30,100.01124960624998,14.62875012985829,-14.027433987951504,28,1.0,1,1,0,1,910.7027463418387,1.0000000000005451,97251.83650063456,1.000000000000545
82,31,100.01958293954998,14.62875012985829,-13.249427348910885,28,1.0,1,1,0,1,858.5721049470166,1.000000000000545,120991.79577804405,1.000000000000545
82,32,100.02791627284998,14.62875012985829,-13.744076262638586,28,1.0,1,1,0,1,390.82236833383405,1.0000000000005451,77420.04065230972,1.0000000000005451
82,33,100.03624960614998,14.62875012985829,-13.325643795785712,28,1.0,1,1,0,1,209.95390417477444,1.000000000000545,51718.02980013938,1.000000000000545
